id,nombre,created_at,updated_at
1,Muy Grave,07/11/2019 10:00,08/11/2019 10:00
2,Grave,07/11/2019 10:00,08/11/2019 10:00
3,Delicada,07/11/2019 10:00,08/11/2019 10:00
4,Estable,07/11/2019 10:00,08/11/2019 10:00
