id,nombre,created_at,updated_at
1,Mejoria,2019-11-14,2019-11-14
2,Defunción,2019-11-14,2019-11-14
3,Traslado,2019-11-14,2019-11-14
4,Alta Voluntaria,2019-11-14,2019-11-14
