id,nombre,created_at,updated_at
1,Muy Grave,05/11/2019 19:11,03/11/2019 19:11
2,Grave,06/11/2019 19:11,04/11/2019 19:11
3,Delicada,07/11/2019 19:11,05/11/2019 19:11
4,Estable,07/11/2019 19:11,05/11/2019 19:11
